conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1922258523817230692,Tue May 13 11:52:00 +0000 2025,0,Sebagai BUMN Holding Pertambangan Indonesia Grup MIND ID torehkan catatan positif dalam momen Hari Pendidikan Nasional. Berbagai upaya berikut dilakukan Grup MIND ID dalam membangun generasi emas yang menjadi investasi jangka panjang untuk mewujudkan Indonesia Emas 2045. https://t.co/FUeRgX82Mw,1922258523817230692,https://pbs.twimg.com/media/Gq077fOXAAADqzO.jpg,,in,,0,0,0,https://x.com/undefined/status/1922258523817230692,1612322800798433282,
1922205914829918540,Tue May 13 08:22:57 +0000 2025,0,Jika IKN benar-benar ingin mewujudkan Indonesia Emas 2045 maka kesetaraan tidak boleh ditawar lagi. Gender ras agama dan asal daerah tidak boleh menentukan siapa yang akan tinggal bekerja dan berkembang di ibu kota baru. #IKNForAll #JusticeInProgress https://t.co/YfpWqamFw1,1922205914829918540,https://pbs.twimg.com/media/Gq0MD_pbAAAMOQY.jpg,,in,,0,0,0,https://x.com/undefined/status/1922205914829918540,1859519065141936130,
1921782561610563655,Mon May 12 04:21:41 +0000 2025,0,pembangunan kewilayahan ujar Menko AHY dalam kuliahnya. Menko AHY menekankan bahwa pembangunan infrastruktur harus berpihak kepada seluruh rakyat Indonesia tanpa kecuali sebagai bagian dari upaya kolektif mewujudkan Indonesia Emas 2045.,1921782808843784226,,demokratbjn,in,,0,0,0,https://x.com/undefined/status/1921782808843784226,1879897618668814336,
1921275545649582499,Sat May 10 18:46:37 +0000 2025,0,Kunci Mewujudkan Indonesia Emas 2045 #Danantara #DanantaraMasaDepanIndonesia #BPIDanantara #DanantarauntukBangsa https://t.co/B8YbOKIRXX,1921275701023342779,https://pbs.twimg.com/media/Gqm-EIzbUAAage9.jpg,HantamanHitam,in,,0,0,0,https://x.com/undefined/status/1921275701023342779,1568549663233708032,
1921108711398932957,Sat May 10 09:26:45 +0000 2025,0,@kompascom Mau nyebut Swasembada pangan kurang keren kurang gaya. Maka dibilanglah Urgensi kemandirian pangan nasional...... Pdhl dilanjut ya dg diksi ...dalam rangka mewujudkan Indonesia emas. Tuh jadi skripsi. ,1921134804587647300,,kompascom,in,,0,0,0,https://x.com/undefined/status/1921134804587647300,1555488754089197568,
1921106978366951453,Sat May 10 07:36:10 +0000 2025,0,Mewujudkan Indonesia Emas 2045 https://t.co/Rhw9FuP1Rq,1921106978366951453,https://pbs.twimg.com/media/GqkknD9WQAAaabX.jpg,,in,,0,0,0,https://x.com/undefined/status/1921106978366951453,1568549663233708032,
1920827584717193350,Fri May 09 13:05:58 +0000 2025,1,Anak sehat bangsa kuat! Program Makan Bergizi Gratis adalah tonggak penting mewujudkan Indonesia Emas 2045. #MakanBergiziGratis #DukungMBG #PemerataanGizi https://t.co/RKu05AlwQ4,1920827584717193350,https://pbs.twimg.com/media/Gqgmgi-bcAEAiAy.jpg,,in,,0,0,0,https://x.com/undefined/status/1920827584717193350,1697562881922056192,
1920700795000893597,Fri May 09 04:42:10 +0000 2025,0,Berbagai upaya berikut dilakukan Grup MIND ID dalam membangun generasi emas yang menjadi investasi jangka panjang untuk mewujudkan Indonesia Emas 2045.,1920700801388814669,,bumnplgsigap,in,,0,1,0,https://x.com/undefined/status/1920700801388814669,1435570439959420930,
1920505274990821814,Thu May 08 15:57:15 +0000 2025,0,dalam setiap langkah dan pemikiran sebagai ASN dalam mewujudkan Indonesia Emas di Tahun 2045. Kanwil Kemenkum Babel #KementerianHukum #LayananHukumMakinMudah #KerjaTerlaksana #KanwilKemenkumBabel,1920508301508554766,,kemenkumbabel,in,,0,1,0,https://x.com/undefined/status/1920508301508554766,1787299092491866112,
1920354859368231362,Thu May 08 05:47:31 +0000 2025,0,Dalam rangka mewujudkan Indonesia Emas 2045 Polri melalui Divisi Humas menggelar Rakernis Humas Polri 2025 yang resmi dibuka pada Selasa 6 Mei 2025 di Semarang Jawa Tengah. Komitmen #HumasPolriModern Adaptif Hadapi Tantangan https://t.co/AJpqTbHcha,1920354859368231362,https://pbs.twimg.com/media/GqZ4kSfXoAA6haF.jpg,,in,,0,0,0,https://x.com/undefined/status/1920354859368231362,1904451605367537664,
